,ID,test,body,color,fuel,doors,production_date,transmission,engine_displacement,engine_power,mileage,drive_type,wheel,condition,owners,vehicle_title,price,model,generation,restyling,age,mileage_per_day
0,avto461,0,седан,чёрный,бензин,2,1947,механическая,2.0,46,193345,задний,Левый,Не требует ремонта,1,Оригинал,300000,321,1,0,73,7.256333270782511
1,avto5636,0,седан,чёрный,бензин,2,1949,механическая,2.0,46,25000,задний,Левый,Не требует ремонта,1,Оригинал,2500000,321,1,0,71,0.9646922631680493
2,avto3200,0,седан,цветной,бензин,2,1972,механическая,2.0,101,117000,задний,Левый,Не требует ремонта,1,Оригинал,1000000,02,1,0,48,6.678082191780822
3,avto205,0,седан,цветной,бензин,4,1997,механическая,1.6,102,100000,задний,Левый,Не требует ремонта,1,Оригинал,200000,3 серия,3,0,23,11.911852293031567
4,avto34,0,седан,цветной,бензин,4,1992,механическая,1.8,113,220000,задний,Левый,Не требует ремонта,1,Оригинал,100000,3 серия,3,0,28,21.52641878669276
5,avto1281,0,хэтчбек,чёрный,бензин,3,2008,автоматическая,1.6,115,133000,задний,Левый,Не требует ремонта,1,Оригинал,530000,1 серия,1,1,12,30.365296803652967
6,avto992,0,хэтчбек,красный,бензин,5,2008,автоматическая,1.6,115,270000,задний,Левый,Не требует ремонта,1,Оригинал,470000,1 серия,1,1,12,61.64383561643836
7,avto1128,0,хэтчбек,красный,бензин,5,2010,автоматическая,1.6,115,157000,задний,Левый,Не требует ремонта,1,Оригинал,500000,1 серия,1,1,10,43.013698630136986
8,avto1029,0,хэтчбек,чёрный,бензин,3,2011,автоматическая,1.6,115,151000,задний,Левый,Не требует ремонта,1,Оригинал,480000,1 серия,1,1,9,45.96651445966514
9,avto1188,0,хэтчбек,белый,бензин,3,2011,автоматическая,1.6,115,137000,задний,Левый,Не требует ремонта,1,Оригинал,510000,1 серия,1,1,9,41.70471841704718
10,avto745,0,хэтчбек,чёрный,бензин,5,2011,автоматическая,1.6,115,130000,задний,Левый,Не требует ремонта,1,Оригинал,400000,1 серия,1,1,9,39.5738203957382
11,avto3853,0,компактвэн,серый,дизель,5,2015,автоматическая,1.5,116,80000,передний,Левый,Не требует ремонта,1,Оригинал,1240000,2 серия Grand Tourer,0,0,5,43.83561643835616
12,avto3486,0,компактвэн,белый,дизель,5,2016,автоматическая,1.5,116,96734,передний,Левый,Не требует ремонта,1,Оригинал,1100000,2 серия Grand Tourer,0,0,4,66.25616438356164
13,avto176,0,седан,серебристый,бензин,4,2001,механическая,1.9,118,20052,задний,Левый,Не требует ремонта,1,Оригинал,195000,3 серия,4,0,19,2.8914203316510454
14,avto4998,0,хэтчбек,чёрный,электро,5,2015,автоматическая,0.0,125,60000,задний,Левый,Не требует ремонта,1,Оригинал,1790000,i3,1,0,5,32.87671232876713
15,avto5407,0,хэтчбек,серый,электро,5,2017,автоматическая,0.0,125,20000,задний,Левый,Не требует ремонта,1,Оригинал,2199000,i3,1,0,3,18.264840182648403
16,avto5409,0,хэтчбек,чёрный,электро,5,2017,автоматическая,0.0,125,24500,задний,Левый,Не требует ремонта,1,Оригинал,2199999,i3,1,0,3,22.374429223744293
17,avto5463,0,хэтчбек,чёрный,электро,5,2017,автоматическая,0.0,125,39500,задний,Левый,Не требует ремонта,1,Оригинал,2251817,i3,1,1,3,36.073059360730596
18,avto5570,0,хэтчбек,белый,электро,5,2017,автоматическая,0.0,125,25000,задний,Левый,Не требует ремонта,1,Оригинал,2429000,i3,1,1,3,22.831050228310502
19,avto6,0,седан,белый,бензин,4,1982,механическая,2.0,125,250000,задний,Левый,Не требует ремонта,1,Оригинал,70000,5 серия,2,0,38,18.02451333813987
20,avto5589,0,седан,серый,бензин,4,1982,механическая,2.0,125,4500,задний,Левый,Не требует ремонта,1,Оригинал,2450000,5 серия,2,0,38,0.32444124008651765
21,avto2276,0,седан,серый,бензин,4,1988,механическая,2.0,129,235000,задний,Левый,Не требует ремонта,1,Оригинал,777000,5 серия,3,0,32,20.11986301369863
22,avto3643,0,седан,белый,бензин,4,2016,автоматическая,1.5,136,95400,задний,Левый,Не требует ремонта,1,Оригинал,1155000,3 серия,6,1,4,65.34246575342466
