,test,style,body,color,fuel,model_date,doors,production_date,transmission,engine_displacement,engine_power,mileage,drive_type,wheel,condition,owners,vehicle_title,description,features,ownership,price
0,0,18d xDrive Steptronic ,внедорожник,чёрный,дизель,2019,5,2020,автоматческая,2.0,150,0,полный,Левый,Новый,0,,Sport Line,"[Кожа, Кожаный руль, Передних сидений, Зеркал, Передние и задние, Зеркал, Датчик дождя, Датчик света, Бортовой компьютер, Центральный замок, Иммобилайзер, Фронтальные, Боковые передние, Антиблокировочная система тормозов (ABS), Антипробуксовочная система (ASR), Система курсовой устойчивости (ESP/ESC/DSC), CD/DVD/Blu-ray, Управление на руле, USB, AUX, Bluetooth, Галогенные, Противотуманные, 18""]",,2526000
1,0,18d xDrive Steptronic ,внедорожник,бежевый,дизель,2019,5,2020,автоматческая,2.0,150,0,полный,Левый,Новый,0,,Advantage Plus,[],,2990000
2,0,18d xDrive Steptronic ,внедорожник,бежевый,дизель,2019,5,2020,автоматческая,2.0,150,0,полный,Левый,Новый,0,,Advantage,[],,2870000
3,0,218i ,седан,серый,бензин,2019,4,2020,роботизированная,1.5,140,0,передний,Левый,Новый,0,,M Sport,"[Ткань, Кожаный руль, Передних сидений, Руля, Зеркал, Передние и задние, Зеркал, Автоматический парковщик, Камера заднего вида, Круиз-контроль, Бортовой компьютер, Центральный замок, Иммобилайзер, Фронтальные, Боковые передние, Антиблокировочная система тормозов (ABS), Антипробуксовочная система (ASR), Система курсовой устойчивости (ESP/ESC/DSC), CD/DVD/Blu-ray, Управление на руле, Светодиодные, Адаптивное освещение, 17""]",,2280990
4,0,218i ,седан,синий,бензин,2019,4,2020,роботизированная,1.5,140,0,передний,Левый,Новый,0,,M Sport,"[Ткань, Кожаный руль, Передних сидений, Руля, Зеркал, Передние и задние, Зеркал, Автоматический парковщик, Камера заднего вида, Круиз-контроль, Бортовой компьютер, Центральный замок, Иммобилайзер, Фронтальные, Боковые передние, Антиблокировочная система тормозов (ABS), Антипробуксовочная система (ASR), Система курсовой устойчивости (ESP/ESC/DSC), CD/DVD/Blu-ray, Управление на руле, Светодиодные, Адаптивное освещение, 17""]",,2169120
5,0,218i ,седан,чёрный,бензин,2019,4,2020,роботизированная,1.5,140,0,передний,Левый,Новый,0,,M Sport,"[Ткань, Кожаный руль, Передних сидений, Руля, Зеркал, Передние и задние, Зеркал, Автоматический парковщик, Камера заднего вида, Круиз-контроль, Бортовой компьютер, Центральный замок, Иммобилайзер, Фронтальные, Боковые передние, Антиблокировочная система тормозов (ABS), Антипробуксовочная система (ASR), Система курсовой устойчивости (ESP/ESC/DSC), CD/DVD/Blu-ray, Управление на руле, Светодиодные, Адаптивное освещение, 17""]",,2169120
6,0,218i ,седан,серый,бензин,2019,4,2020,роботизированная,1.5,140,0,передний,Левый,Новый,0,,M Sport Pro,[],,2260000
7,0,218i ,седан,чёрный,бензин,2019,4,2020,роботизированная,1.5,140,0,передний,Левый,Новый,0,,Base,"[Климат многозонный, Велюр, Кожаный руль, Передних сидений, Зеркал, Руля, Только передние, Зеркал, Круиз-контроль, Бортовой компьютер, Парктроник передний, Парктроник задний, Датчик света, Датчик дождя, Центральный замок, Иммобилайзер, Фронтальные, Боковые передние, Фронтальные, Шторки, Антиблокировочная система тормозов (ABS), Антипробуксовочная система (ASR), Управление на руле, USB, AUX, Bluetooth, Светодиодные, Противотуманные, Адаптивное освещение, 18""]",,2275710
8,0,218i ,седан,красный,бензин,2019,4,2020,роботизированная,1.5,140,0,передний,Левый,Новый,0,,Base,"[Климат многозонный, Велюр, Кожаный руль, Передних сидений, Зеркал, Руля, Только передние, Зеркал, Круиз-контроль, Бортовой компьютер, Парктроник передний, Парктроник задний, Датчик света, Датчик дождя, Центральный замок, Иммобилайзер, Фронтальные, Боковые передние, Фронтальные, Шторки, Антиблокировочная система тормозов (ABS), Антипробуксовочная система (ASR), Управление на руле, USB, AUX, Bluetooth, Светодиодные, Противотуманные, Адаптивное освещение, 18""]",,2259900
9,0,218i ,седан,синий,бензин,2019,4,2020,роботизированная,1.5,140,0,передний,Левый,Новый,0,,M Sport,"[Гидроусилитель, Климат многозонный, Ткань, Кожаный руль, Передних сидений, Зеркал, Руля, Передние и задние, Зеркал, Автоматический парковщик, Камера заднего вида, Круиз-контроль, Бортовой компьютер, Центральный замок, Иммобилайзер, Фронтальные, Боковые передние, Антиблокировочная система тормозов (ABS), Антипробуксовочная система (ASR), Система курсовой устойчивости (ESP/ESC/DSC), Система экстренного торможения (EBA/BAS/BA), Электронная блокировка дифференциала (EDS/XDS/ETS), CD/DVD/Blu-ray, MP3, Радио, Управление на руле, Светодиодные, Противотуманные, Адаптивное освещение, 18"", Есть сервисная книжка, На гарантии]",,2519400
