,test,style,body,color,fuel,doors,production_date,transmission,engine_displacement,engine_power,mileage,drive_type,wheel,owners,price
0,1,520d,седан,чёрный,дизель,4,2017,автоматическая,2.0,190.0,158836.0,задний,Левый,1.0,0.0
1,1,318d,седан,белый,дизель,4,2019,автоматическая,2.0,150.0,10.0,задний,Левый,1.0,0.0
2,1,550i xDrive,седан,синий,бензин,4,2012,автоматическая,4.4,407.0,120000.0,полный,Левый,2.0,0.0
3,1,30d,внедорожник,белый,дизель,5,2015,автоматическая,3.0,249.0,111466.0,полный,Левый,2.0,0.0
4,1,M50d,внедорожник,синий,дизель,5,2019,автоматическая,3.0,381.0,11891.0,полный,Левый,1.0,0.0
5,1,30d,внедорожник,коричневый,дизель,5,2013,автоматическая,3.0,249.0,115000.0,полный,Левый,2.0,0.0
6,1,28i xDrive,внедорожник,белый,бензин,5,2012,автоматическая,2.0,245.0,130000.0,полный,Левый,2.0,0.0
7,1,20d,внедорожник,чёрный,дизель,5,2008,автоматическая,2.0,177.0,160000.0,полный,Левый,2.0,0.0
8,1,30d,внедорожник,чёрный,дизель,5,2011,автоматическая,3.0,245.0,170000.0,полный,Левый,2.0,0.0
9,1,520i,седан,белый,бензин,4,2016,автоматическая,2.0,184.0,110500.0,задний,Левый,2.0,0.0
10,1,328i,седан,красный,бензин,4,2012,автоматическая,2.0,245.0,129357.0,задний,Левый,1.0,0.0
11,1,116i,хэтчбек,белый,бензин,3,2011,автоматическая,1.6,115.0,96400.0,задний,Левый,3.0,0.0
12,1,730d,седан,серый,дизель,4,2007,автоматическая,3.0,231.0,273000.0,задний,Левый,3.0,0.0
13,1,30d,внедорожник,чёрный,дизель,5,2011,автоматическая,3.0,245.0,124934.0,полный,Левый,1.0,0.0
14,1,320i,седан,чёрный,бензин,4,2011,автоматическая,2.0,156.0,84363.0,задний,Левый,2.0,0.0
15,1,335i,седан,коричневый,бензин,4,2011,автоматическая,3.0,306.0,91000.0,задний,Левый,1.0,0.0
16,1,25i,внедорожник,чёрный,бензин,5,2007,автоматическая,2.5,218.0,137000.0,полный,Левый,2.0,0.0
17,1,316i,седан,коричневый,бензин,4,2014,автоматическая,1.6,136.0,143000.0,задний,Левый,2.0,0.0
18,1,3.0d,внедорожник,чёрный,дизель,5,2008,автоматическая,3.0,235.0,235329.0,полный,Левый,2.0,0.0
19,1,20d,внедорожник,бежевый,дизель,5,2011,автоматическая,2.0,177.0,107000.0,полный,Левый,2.0,0.0
20,1,540i,седан,чёрный,бензин,4,2000,автоматическая,4.4,286.0,216000.0,задний,Левый,3.0,0.0
21,1,20d,внедорожник,серый,дизель,5,2014,автоматическая,2.0,184.0,46134.0,полный,Левый,2.0,0.0
22,1,30d,внедорожник,серый,дизель,5,2012,автоматическая,3.0,245.0,112586.0,полный,Левый,3.0,0.0
23,1,116i,хэтчбек,чёрный,бензин,5,2008,механическая,1.6,122.0,170000.0,задний,Левый,3.0,0.0
24,1,730Ld xDrive,седан,серый,дизель,4,2016,автоматическая,3.0,265.0,65000.0,полный,Левый,2.0,0.0
25,1,35d,внедорожник,серебристый,дизель,5,2009,автоматическая,3.0,286.0,165000.0,полный,Левый,3.0,0.0
26,1,30d,внедорожник,синий,дизель,5,2011,автоматическая,3.0,245.0,178000.0,полный,Левый,3.0,0.0
27,1,20i xDrive,внедорожник,коричневый,бензин,5,2014,автоматическая,2.0,184.0,81398.0,полный,Левый,1.0,0.0
28,1,530d xDrive,седан,синий,дизель,4,2011,автоматическая,3.0,258.0,150175.0,полный,Левый,1.0,0.0
29,1,20d,внедорожник,белый,дизель,5,2018,автоматическая,2.0,190.0,1000.0,полный,Левый,1.0,0.0
30,1,528i xDrive,седан,чёрный,бензин,4,2013,автоматическая,2.0,245.0,47000.0,полный,Левый,1.0,0.0
31,1,35i,внедорожник,синий,бензин,5,2011,автоматическая,3.0,306.0,142500.0,полный,Левый,2.0,0.0
32,1,xDrive20d,внедорожник,золотистый,дизель,5,2019,автоматическая,2.0,190.0,5234.0,полный,Левый,1.0,0.0
33,1,540i xDrive,седан,серый,бензин,4,2018,автоматическая,3.0,340.0,32500.0,полный,Левый,1.0,0.0
34,1,520d xDrive,седан,белый,дизель,4,2019,автоматическая,2.0,190.0,3300.0,полный,Левый,1.0,0.0
35,1,48i,внедорожник,синий,бензин,5,2007,автоматическая,4.8,355.0,230528.0,полный,Левый,3.0,0.0
36,1,135i,купе,красный,бензин,2,2008,автоматическая,3.0,306.0,200000.0,задний,Левый,3.0,0.0
37,1,30d,внедорожник,чёрный,дизель,5,2015,автоматическая,3.0,249.0,85746.0,полный,Левый,1.0,0.0
38,1,520i,седан,серый,бензин,4,2013,автоматическая,2.0,184.0,372905.0,задний,Левый,1.0,0.0
40,1,520d xDrive,седан,чёрный,дизель,4,2019,автоматическая,2.0,190.0,49000.0,полный,Левый,1.0,0.0
41,1,335xi,купе,чёрный,бензин,2,2008,автоматическая,3.0,306.0,150000.0,полный,Левый,3.0,0.0
42,1,745i,седан,чёрный,бензин,4,2003,автоматическая,4.4,333.0,200000.0,задний,Левый,3.0,0.0
43,1,30d xDrive,внедорожник,коричневый,дизель,5,2014,автоматическая,3.0,249.0,122172.0,полный,Левый,1.0,0.0
44,1,320d,купе,белый,дизель,2,2013,автоматическая,2.0,184.0,96800.0,задний,Левый,2.0,0.0
45,1,530xi,седан,чёрный,бензин,4,2005,автоматическая,3.0,258.0,130000.0,полный,Левый,2.0,0.0
46,1,20i xDrive,внедорожник,синий,бензин,5,2018,автоматическая,2.0,184.0,17000.0,полный,Левый,2.0,0.0
