,ID,test,style,body,color,fuel,model_date,doors,production_date,transmission,engine_displacement,engine_power,mileage,drive_type,wheel,condition,owners,vehicle_title,model,generation,generation1,restyling,age,mileage_per_day,price
0,avto3202,0,2.0,седан,белый,бензин,1937,2,1937,механическая,2.0,46,100000,задний,Левый,Не требует ремонта,3,Оригинал,321,1,321,0,83,3.300874731803928,1000000
1,avto5279,0,2.0,седан,чёрный,бензин,1937,2,1937,механическая,2.0,46,4500,задний,Левый,Не требует ремонта,3,Оригинал,321,1,321,0,83,0.14853936293117675,2000000
2,avto461,0,2.0,седан,чёрный,бензин,1937,2,1947,механическая,2.0,46,193345,задний,Левый,Не требует ремонта,1,Оригинал,321,1,321,0,73,7.256333270782511,300000
3,avto6429,0,2.0,седан,коричневый,бензин,1937,2,1948,механическая,2.0,46,10,задний,Левый,Не требует ремонта,3,Оригинал,321,1,321,0,72,0.000380517503805175,6000000
4,avto5636,0,2.0,седан,чёрный,бензин,1937,2,1949,механическая,2.0,46,25000,задний,Левый,Не требует ремонта,1,Оригинал,321,1,321,0,71,0.9646922631680493,2500000
5,avto855,0,2.0,седан,бежевый,бензин,1936,4,1938,механическая,2.0,51,35800,задний,Левый,Не требует ремонта,2,Оригинал,326,1,326,0,82,1.1961242900100233,440000
6,avto5040,0,2.0,седан,пурпурный,бензин,1949,4,1950,механическая,2.0,51,97000,задний,Левый,Не требует ремонта,3,Дубликат,340,1,340,0,70,3.796477495107632,1800000
7,avto6471,0,2.0,седан,чёрный,бензин,1949,4,1950,механическая,2.0,51,44100,задний,Левый,Не требует ремонта,3,Оригинал,340,1,340,0,70,1.726027397260274,6700000
8,avto1519,0,315,седан,синий,бензин,1975,2,1982,механическая,1.6,75,180000,задний,Левый,Не требует ремонта,2,Оригинал,3 серия,1,E21,0,38,12.977649603460707,590000
9,avto232,0,318d,универсал,серебристый,дизель,1990,5,1999,механическая,1.7,90,190000,задний,Левый,Не требует ремонта,3,Оригинал,3 серия,3,E36,0,21,24.787997390737118,215000
10,avto802,0,316,седан,золотистый,бензин,1982,4,1984,механическая,1.8,90,139500,задний,Левый,Не требует ремонта,3,Дубликат,3 серия,2,E30,0,36,10.616438356164384,425000
11,avto181,0,316,седан,белый,бензин,1982,4,1985,механическая,1.8,90,335000,задний,Левый,Не требует ремонта,2,Оригинал,3 серия,2,E30,0,35,26.223091976516635,200000
12,avto1314,0,316,седан,серый,бензин,1982,4,1985,механическая,1.8,90,170000,задний,Левый,Не требует ремонта,3,Оригинал,3 серия,2,E30,0,35,13.307240704500979,540000
13,avto2369,0,316i,купе,красный,бензин,1982,2,1990,автоматическая,1.6,100,230500,задний,Левый,Не требует ремонта,3,Дубликат,3 серия,2,E30,0,30,21.050228310502284,800000
14,avto94,0,316i,седан,красный,бензин,1990,4,1991,автоматическая,1.6,100,200000,задний,Левый,Не требует ремонта,3,Дубликат,3 серия,3,E36,0,29,18.894662257912138,148000
15,avto118,0,316i,седан,чёрный,бензин,1990,4,1991,механическая,1.6,100,348000,задний,Левый,Не требует ремонта,3,Оригинал,3 серия,3,E36,0,29,32.87671232876713,160000
16,avto106,0,316i,седан,красный,бензин,1990,4,1992,автоматическая,1.6,100,300000,задний,Левый,Не требует ремонта,3,Оригинал,3 серия,3,E36,0,28,29.354207436399218,150000
