test,style,doors,production_date,engine_displacement,engine_power,mileage,owners,price,has_steptronic,has_xdrive,offroad,cabriolet,compact,coupe,coupe_hard,liftback,roadster,sedan,estate,hatchback,main_color,other_color,gasoline,gasoline_gas,hybrid,diesel,electro,years_in_use,AT,MT,AM,tax,tax_per_horse,mileage_per_day,RWD,FWD,AWD,left,right
0,96,4,1986,2.7,125.0,220000.0,2.0,50000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,34,0.0,1.0,0.0,3125.0,25,17.7276390008058,1.0,0.0,0.0,1.0,0.0
0,98,4,1988,2.5,170.0,300000.0,3.0,70000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,32,0.0,1.0,0.0,7650.0,45,25.684931506849313,1.0,0.0,0.0,1.0,0.0
0,44,5,1994,1.8,115.0,350000.0,3.0,70000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,26,0.0,1.0,0.0,2875.0,25,36.880927291886195,1.0,0.0,0.0,1.0,0.0
0,92,4,1992,2.0,150.0,100000.0,3.0,70000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,28,0.0,1.0,0.0,5250.0,35,9.784735812133073,1.0,0.0,0.0,1.0,0.0
0,92,4,1992,2.0,150.0,250000.0,3.0,75000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,28,0.0,1.0,0.0,5250.0,35,24.461839530332682,1.0,0.0,0.0,1.0,0.0
0,92,4,1992,2.0,150.0,400000.0,3.0,75000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28,0.0,1.0,0.0,5250.0,35,39.13894324853229,1.0,0.0,0.0,1.0,0.0
0,92,4,1991,2.0,150.0,380000.0,3.0,77000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29,0.0,1.0,0.0,5250.0,35,35.899858290033066,1.0,0.0,0.0,1.0,0.0
0,92,4,1991,2.0,150.0,190000.0,3.0,80000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,29,0.0,1.0,0.0,5250.0,35,17.949929145016533,1.0,0.0,0.0,1.0,0.0
0,44,5,1996,1.8,115.0,238000.0,3.0,82000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24,0.0,1.0,0.0,2875.0,25,27.168949771689498,1.0,0.0,0.0,1.0,0.0
0,89,4,1975,2.0,115.0,88000.0,3.0,84000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,45,0.0,1.0,0.0,2875.0,25,5.357686453576864,1.0,0.0,0.0,1.0,0.0
0,98,4,1985,2.5,150.0,250000.0,3.0,85000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,35,0.0,1.0,0.0,5250.0,35,19.569471624266146,1.0,0.0,0.0,1.0,0.0
0,92,4,1990,2.0,150.0,100000.0,3.0,85000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,30,0.0,1.0,0.0,5250.0,35,9.132420091324201,1.0,0.0,0.0,1.0,0.0
0,42,3,1998,1.6,102.0,281000.0,3.0,90000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22,0.0,1.0,0.0,2550.0,25,34.99377334993773,1.0,0.0,0.0,1.0,0.0
0,92,4,1990,2.0,150.0,350000.0,3.0,90000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,30,0.0,1.0,0.0,5250.0,35,31.963470319634702,1.0,0.0,0.0,1.0,0.0
0,92,4,1990,2.0,150.0,304176.0,2.0,90000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,30,0.0,1.0,0.0,5250.0,35,27.7786301369863,1.0,0.0,0.0,1.0,0.0
0,92,4,1980,2.0,122.0,200000.0,3.0,90000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40,0.0,1.0,0.0,3050.0,25,13.698630136986301,1.0,0.0,0.0,1.0,0.0
0,98,4,1990,2.5,192.0,310000.0,3.0,94000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,30,0.0,1.0,0.0,9600.0,50,28.310502283105023,1.0,0.0,0.0,1.0,0.0
0,92,4,1995,2.0,150.0,450000.0,3.0,95000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,25,0.0,1.0,0.0,5250.0,35,49.31506849315068,1.0,0.0,0.0,1.0,0.0
0,102,4,1986,2.8,184.0,200000.0,3.0,95000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,34,0.0,1.0,0.0,9200.0,50,16.116035455278002,1.0,0.0,0.0,1.0,0.0
0,92,4,1991,2.0,150.0,400000.0,3.0,95000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29,0.0,1.0,0.0,5250.0,35,37.789324515824276,1.0,0.0,0.0,1.0,0.0
0,92,4,1992,2.0,150.0,333333.0,3.0,97000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,28,0.0,1.0,0.0,5250.0,35,32.615753424657534,1.0,0.0,0.0,1.0,0.0
0,98,4,1989,2.5,170.0,301000.0,3.0,100000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,31,0.0,1.0,0.0,7650.0,45,26.601855943437915,1.0,0.0,0.0,1.0,0.0
0,92,4,1991,2.0,150.0,300000.0,3.0,100000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,29,0.0,1.0,0.0,5250.0,35,28.34199338686821,1.0,0.0,0.0,1.0,0.0
0,44,5,1996,1.8,115.0,390000.0,3.0,100000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24,0.0,1.0,0.0,2875.0,25,44.52054794520548,1.0,0.0,0.0,1.0,0.0
0,47,2,1984,2.0,125.0,10000.0,3.0,100000.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0.0,1.0,0.0,3125.0,25,0.76103500761035,1.0,0.0,0.0,1.0,0.0
0,44,4,1992,1.8,113.0,220000.0,1.0,100000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,28,0.0,1.0,0.0,2825.0,25,21.52641878669276,1.0,0.0,0.0,1.0,0.0
0,92,4,1991,2.0,150.0,373656.0,3.0,105000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,29,0.0,1.0,0.0,5250.0,35,35.300519603212095,1.0,0.0,0.0,1.0,0.0
0,42,3,1995,1.6,102.0,376000.0,3.0,105000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,25,0.0,1.0,0.0,2550.0,25,41.205479452054796,1.0,0.0,0.0,1.0,0.0
0,92,4,1991,2.0,150.0,260000.0,3.0,105000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29,0.0,1.0,0.0,5250.0,35,24.563060935285783,1.0,0.0,0.0,1.0,0.0
0,92,4,1989,2.0,150.0,230000.0,3.0,105000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,31,0.0,1.0,0.0,5250.0,35,20.326999558108707,1.0,0.0,0.0,1.0,0.0
0,92,4,1992,2.0,150.0,300000.0,3.0,108000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28,0.0,1.0,0.0,5250.0,35,29.354207436399218,1.0,0.0,0.0,1.0,0.0
0,44,5,1993,1.8,115.0,310010.0,3.0,110000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,27,0.0,1.0,0.0,2875.0,25,31.45712836123795,1.0,0.0,0.0,1.0,0.0
0,44,4,1992,1.8,113.0,320000.0,3.0,110000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28,0.0,1.0,0.0,2825.0,25,31.31115459882583,1.0,0.0,0.0,1.0,0.0
0,92,4,1988,2.0,129.0,359000.0,3.0,110000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,32,0.0,1.0,0.0,4515.0,35,30.736301369863014,1.0,0.0,0.0,1.0,0.0
0,88,4,1990,1.8,113.0,250000.0,3.0,110000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,30,0.0,1.0,0.0,2825.0,25,22.831050228310502,1.0,0.0,0.0,1.0,0.0
0,128,4,1996,2.8,193.0,450000.0,3.0,105000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24,1.0,0.0,0.0,9650.0,50,51.36986301369863,1.0,0.0,0.0,1.0,0.0
0,88,4,1992,1.8,115.0,200000.0,3.0,110000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,28,0.0,1.0,0.0,2875.0,25,19.569471624266146,1.0,0.0,0.0,1.0,0.0
0,42,5,1998,1.6,102.0,300000.0,3.0,115000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22,0.0,1.0,0.0,2550.0,25,37.359900373599004,1.0,0.0,0.0,1.0,0.0
